z5_0,z5_1,z5_2,z5_3,z5_4,z5_5,z5_6,z5_7,z5_8,z5_9,z5_10,z5_11,z5_12,z5_13,z5_14,z5_15,z5_16,z5_17,z5_18,z5_19,z5_20,z5_21,z5_22,z5_23,z5_24,z5_25,z5_26,z5_27,z5_28,z5_29,z5_30,z5_31
-0.03536489,0.0540768,0.009084484,0.021202946,-0.039763086,-0.10903335,0.01631485,0.01431337,0.044055216,0.053530462,0.024841713,0.0174798,0.03657059,0.00867556,0.12884152,0.06274839,-0.0027213641,-0.03248982,-0.13945886,-0.023566406,0.1122736,0.05555274,-0.10203664,-0.02485963,0.036411792,0.09739172,-0.01760381,0.006874211,-0.013624321,-0.021862203,0.041621096,0.118735224
-0.03535495,0.054092925,0.008910999,0.021496754,-0.039623387,-0.10874082,0.01571251,0.014071748,0.043750674,0.053189933,0.024724798,0.017443549,0.036765583,0.0087048765,0.12825827,0.06274891,-0.002664207,-0.032511055,-0.13932773,-0.023715947,0.11218724,0.05546224,-0.10212838,-0.024970893,0.03654842,0.09746232,-0.017542016,0.006744315,-0.013582154,-0.02194797,0.04141072,0.118712775
-0.03534858,0.053961214,0.008978127,0.021314617,-0.039580345,-0.10879653,0.015770145,0.014291115,0.04382749,0.053294055,0.024693599,0.017516946,0.0365759,0.008681325,0.12844726,0.06267251,-0.002604688,-0.032556497,-0.13927746,-0.02366978,0.11214511,0.055515483,-0.10213297,-0.025013238,0.036596596,0.09747129,-0.017584896,0.00673897,-0.013542012,-0.021850934,0.04146719,0.11877582
-0.035748415,0.0542082,0.008447107,0.022598369,-0.03946273,-0.10829969,0.015255081,0.012555314,0.043534376,0.05294266,0.025574397,0.0165172,0.037193377,0.008442463,0.12694842,0.06333995,-0.0032165279,-0.03255853,-0.13909811,-0.02345198,0.11275497,0.0554612,-0.1020441,-0.024372585,0.036240775,0.09737175,-0.017010076,0.0066712024,-0.012929662,-0.022070106,0.040718116,0.1182462
-0.035400476,0.054241836,0.008894285,0.022016818,-0.039480854,-0.1080994,0.014890177,0.014007365,0.043780506,0.052914962,0.024450136,0.017422535,0.036556028,0.009096758,0.12767328,0.062552944,-0.0022447486,-0.03252419,-0.13837405,-0.023740966,0.111935966,0.05550084,-0.10200374,-0.025737923,0.03678888,0.09759408,-0.017322572,0.006553919,-0.013493388,-0.02248105,0.041144274,0.118525155
-0.035270344,0.054300673,0.008714311,0.022160113,-0.03960502,-0.10813658,0.0152700655,0.01347008,0.04351984,0.05274243,0.024672639,0.017135888,0.037307728,0.008707555,0.12725185,0.062875986,-0.0027090837,-0.032514527,-0.13911477,-0.023958873,0.11218429,0.055337828,-0.10219431,-0.024793793,0.03651116,0.09747136,-0.01749161,0.006649561,-0.013587817,-0.022321232,0.041156303,0.11849865
-0.035262313,0.05445648,0.008647654,0.0224008,-0.039670207,-0.1080078,0.014830258,0.013194505,0.043482244,0.05247076,0.024716595,0.01705686,0.037363432,0.00877699,0.1270791,0.062939,-0.00280208,-0.032708116,-0.13922049,-0.023856279,0.11227611,0.055313848,-0.10229799,-0.02475566,0.036609538,0.09743981,-0.017434383,0.0066566616,-0.013444462,-0.022283232,0.04105865,0.11851312
-0.035843514,0.053928383,0.008601636,0.022127733,-0.039394066,-0.10866686,0.015524074,0.013043638,0.04372526,0.053469323,0.025594093,0.016796753,0.036741216,0.008397331,0.12757474,0.063262895,-0.0031603393,-0.03246811,-0.13906115,-0.023306489,0.11266228,0.055629067,-0.102019444,-0.024671834,0.036351666,0.09739392,-0.017115384,0.006728478,-0.012896788,-0.02175505,0.040815547,0.11835725
-0.03587746,0.053900093,0.008701032,0.02193355,-0.039431453,-0.10886789,0.015685514,0.0131579265,0.043824762,0.053703442,0.025636505,0.016742053,0.036440197,0.008363642,0.12775725,0.063207656,-0.0031915125,-0.032497987,-0.13910544,-0.023141615,0.11283535,0.055705737,-0.10203828,-0.024700608,0.036168903,0.09728062,-0.016949857,0.0067483457,-0.012871643,-0.021603582,0.040875558,0.11851995
-0.035446845,0.053952888,0.008979486,0.021091487,-0.039586082,-0.10922377,0.016414326,0.014374882,0.04385262,0.053575702,0.024828862,0.017570663,0.036633305,0.0086411815,0.12879497,0.06273387,-0.002641099,-0.0323112,-0.13943805,-0.023678614,0.11222078,0.055473857,-0.101923555,-0.024939418,0.036343083,0.09747598,-0.017524874,0.00679534,-0.013718833,-0.021896802,0.041610353,0.11873918
