,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
0,0,0,0,0,0,0,0,1.110097400941785,-7.8186507959366205,398.599499314476,-0.2685435429602502,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1.1101,-9.772734728394193,398.44862565269455,-0.428777915470524,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,2,2,2,2,1.11012,-11.726432850035966,398.2980121001761,-0.5213629429077131,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,3,3,3,1.11014,-13.679668032170014,398.1475964793751,-0.6127645240093506,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,4,4,4,4,1.11016,-15.632363164451164,397.9973698665691,-0.7030147103820905,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,5,5,5,5,1.11018,-17.58444115778381,397.84743140653177,-0.7921484905033631,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,6,6,6,6,1.1102,-19.535824947488944,397.69776847549446,-0.8801923707538956,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,7,7,7,7,1.11022,-21.486437496293483,397.548408265346,-0.9671721431468208,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,8,8,8,8,1.11024,-23.436201797318702,397.3993202856756,-1.053108703555706,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,9,9,9,9,1.11026,-25.385040877243807,397.2507425010565,-1.0718175630168616,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,10,10,10,10,10,10,1.11028,-27.3328777992036,397.1023142915464,-1.1557521819967032,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,11,11,11,11,1.1102999999999998,-29.279635665949264,396.954154120184,-1.3048570270784532,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,12,12,12,12,12,12,1.11032,-31.225237622831216,396.8067978051808,-1.3206708304383348,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,13,13,13,13,13,13,1.11034,-33.16960686078039,396.6597294682426,-1.3355608957428624,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,14,14,14,14,14,1.11036,-35.11266661946375,396.51283191263593,-1.4156190907205577,0,0,0,0,0,0,0,0,0,0,0,0,1
