,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
0,0,0,0,0,0,0,1.171680111956086,-156.69076765739902,389.0206531954639,-6.381082720447611,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1.1717,-158.3765202720314,388.9514673573568,-6.444472301177874,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,2,2,2,1.17172,-160.0560204528275,388.8834265674046,-6.5648469555961,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,3,3,1.17174,-161.72920189601112,388.81790803422274,-6.677170386922136,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,4,4,4,1.17176,-163.39599854721348,388.7558833170106,-6.651649940509972,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,5,5,5,1.17178,-165.05634460418702,388.6939207947797,-6.682450400206975,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,6,6,6,1.1718,-166.71017451928233,388.6327356319615,-6.769338905549048,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,7,7,7,1.17182,-168.3574230021412,388.5730396816337,-6.912070472321776,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,8,8,8,1.17184,-169.99802502222892,388.5172391964609,-6.98090103939756,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,9,9,9,1.17186,-171.63191581135715,388.46355564917457,-6.9756046431908425,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,10,10,10,10,10,1.17188,-173.25903086634483,388.4101941817305,-7.025440369330116,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,11,11,11,1.1719,-174.87930595144616,388.3578879743992,-7.130160914894464,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,12,12,12,12,12,1.17192,-176.49267710098994,388.30736654735387,-7.289506160947918,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,13,13,13,13,13,1.17194,-178.09908062186017,388.26171006506894,-7.309099650115825,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,14,14,14,14,1.17196,-179.6984530959675,388.2170287280532,-7.318106537456176,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,15,15,15,15,15,1.17198,-181.29073138285395,388.17286987032446,-7.380983484173786,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,16,16,16,16,16,1.172,-182.8758526220705,388.1299822454834,-7.497469538282883,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,17,17,17,1.1720199999999998,-184.45375423575928,388.0891105924593,-7.66729025499027,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,18,18,18,18,18,1.17204,-186.02437393108045,388.0538064957032,-7.63149159345056,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,19,19,19,1.17206,-187.58764970262936,388.01838350658807,-7.648493271348026,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,20,20,20,1.17208,-189.14351983499765,387.983607642732,-7.7180361002285425,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,21,21,21,21,21,1.1721,-190.6919229050263,387.95024075862005,-7.839846662230563,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,22,22,22,22,22,1.17212,-192.2327977844975,387.91904034082665,-8.013637390580461,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,23,23,23,23,23,1.17214,-193.7660836422395,387.893702739214,-7.980549561109205,0,0,0,0,0,0,0,0,0,0,0,0,1
24,24,24,24,24,24,24,1.17216,-195.2917199467663,387.8682670648446,-7.99886946370474,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,25,25,25,1.17218,-196.80964646862387,387.8435100712469,-8.068327717857406,0,0,0,0,0,0,0,0,0,0,0,0,1
26,26,26,26,26,26,26,1.1722,-198.31980328260352,387.820204024168,-8.188640077804386,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,27,27,27,27,27,1.17222,-199.82213077034103,387.8002445144165,-8.294886555924457,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,28,28,28,28,28,1.17224,-201.31656962249244,387.7841928151401,-8.257513319631888,0,0,0,0,0,0,0,0,0,0,0,0,1
29,29,29,29,29,29,29,1.17226,-202.80306084118448,387.7679559494039,-8.270105472005218,0,0,0,0,0,0,0,0,0,0,0,0,1
30,30,30,30,30,30,30,1.17228,-204.2815457423023,387.7523189867159,-8.332385538815414,0,0,0,0,0,0,0,0,0,0,0,0,1
