,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
0,0,0,0,0,0,0,0,0,0,0,1.110097400941785,-9.447714,397.58307,-0.36120605,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1.1101,3.9359837,398.71213,-2.6270263,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,2,2,2,2,2,2,2,1.11012,-45.691463,395.43085,-2.1417582,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,3,3,3,3,3,3,1.11014,29.099968,396.74835,-1.1279924,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,4,4,4,4,4,4,4,1.11016,27.265568,396.1651,0.098633826,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,5,5,5,5,5,5,5,1.11018,-19.504118,400.19553,-1.5316188,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,6,6,6,6,6,6,6,1.1102,34.997482,398.59088,0.30272293,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,7,7,7,7,7,7,7,1.11022,-56.707985,399.3291,-0.9148221,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,8,8,8,8,8,8,8,1.11024,30.341997,398.46967,1.0491331,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,9,9,9,9,9,9,9,1.11026,-84.89278,396.22443,1.3940562,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,10,10,10,10,10,10,10,10,10,1.11028,-59.170185,397.05032,-4.7269897,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,11,11,11,11,11,11,11,1.1102999999999998,-71.85101,398.75827,-2.1677127,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,12,12,12,12,12,12,12,12,12,1.11032,-61.55654,394.4255,-2.9540858,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,13,13,13,13,13,13,13,13,13,1.11034,-34.15273,395.75684,4.6255293,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,14,14,14,14,14,14,14,14,1.11036,-33.974728,395.74493,-3.1893654,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,15,15,15,15,15,15,15,15,15,1.11038,-48.226707,397.27,-4.5696287,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,16,16,16,16,16,16,16,16,16,1.1104,7.176483,400.5237,-2.340578,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,17,17,17,17,17,17,17,1.11042,-123.54103,395.47504,0.24746883,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,18,18,18,18,18,18,18,18,18,1.11044,-79.82501,394.6215,-4.8814945,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,19,19,19,19,19,19,19,1.11046,-88.86636,398.2336,-1.6962818,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,20,20,20,20,20,20,20,1.11048,-84.041046,396.73233,-3.4669137,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,21,21,21,21,21,21,21,21,21,1.1105,-46.48621,395.40167,-1.1357801,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,22,22,22,22,22,22,22,22,22,1.11052,-9.293583,397.6587,-5.3604193,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,23,23,23,23,23,23,23,23,23,1.11054,-12.972008,393.36264,-5.627618,0,0,0,0,0,0,0,0,0,0,0,0,1
24,24,24,24,24,24,24,24,24,24,24,1.11056,-131.39621,395.40417,-1.7401098,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,25,25,25,25,25,25,25,1.11058,-77.45467,397.0465,-6.323639,0,0,0,0,0,0,0,0,0,0,0,0,1
