,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1,open2,Relay4,Relay3,short1,short2,Relay2,Relay1,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
0,0,0,0,0,1.1769336308304843,411.1777,-10.436769,-217.39766,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1.17694,410.78464,-8.178246,-296.00742,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,2,1.17696,413.35767,-13.324591,-251.75241,0,0,0,0,0,0,0,0,0,0,0,0,1
3,3,3,3,3,1.17698,408.57727,-11.513907,-251.21326,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,4,4,4,1.177,412.57938,-9.931061,-262.51294,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,5,5,1.17702,411.60468,-11.751739,-312.23398,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,6,6,6,1.17704,412.9224,-10.643546,-184.68155,0,0,0,0,0,0,0,0,0,0,0,0,1
7,7,7,7,7,1.17706,411.13303,-11.998542,-236.61581,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,8,8,8,1.17708,413.28867,-7.519594,-225.68353,0,0,0,0,0,0,0,0,0,0,0,0,1
9,9,9,9,9,1.1771,410.42996,-10.985526,-228.84595,0,0,0,0,0,0,0,0,0,0,0,0,1
10,10,10,10,10,1.17712,409.72836,-1.7973471,-279.7073,0,0,0,0,0,0,0,0,0,0,0,0,1
11,11,11,11,11,1.17714,410.55695,-9.770423,-251.96237,0,0,0,0,0,0,0,0,0,0,0,0,1
12,12,12,12,12,1.17716,410.8782,-8.232467,-312.57364,0,0,0,0,0,0,0,0,0,0,0,0,1
13,13,13,13,13,1.17718,410.2812,-9.746142,-244.81175,0,0,0,0,0,0,0,0,0,0,0,0,1
14,14,14,14,14,1.1772,411.12442,-9.378958,-229.63965,0,0,0,0,0,0,0,0,0,0,0,0,1
15,15,15,15,15,1.17722,410.7735,-9.257753,-248.28313,0,0,0,0,0,0,0,0,0,0,0,0,1
16,16,16,16,16,1.1772399999999998,415.27588,-11.855661,-261.25128,0,0,0,0,0,0,0,0,0,0,0,0,1
17,17,17,17,17,1.17726,410.26007,-9.590732,-135.9478,0,0,0,0,0,0,0,0,0,0,0,0,1
18,18,18,18,18,1.17728,412.97934,-8.157112,-125.10634,0,0,0,0,0,0,0,0,0,0,0,0,1
19,19,19,19,19,1.1773,410.02963,-8.086679,-147.2279,0,0,0,0,0,0,0,0,0,0,0,0,1
20,20,20,20,20,1.17732,409.05206,-6.3417134,-190.80173,0,0,0,0,0,0,0,0,0,0,0,0,1
21,21,21,21,21,1.17734,411.36005,-7.8840055,-242.31004,0,0,0,0,0,0,0,0,0,0,0,0,1
22,22,22,22,22,1.17736,408.22357,-11.545767,-238.17888,0,0,0,0,0,0,0,0,0,0,0,0,1
23,23,23,23,23,1.17738,413.1389,-7.880249,-309.78574,0,0,0,0,0,0,0,0,0,0,0,0,1
24,24,24,24,24,1.1774,413.9336,-9.640172,-254.31062,0,0,0,0,0,0,0,0,0,0,0,0,1
25,25,25,25,25,1.17742,414.081,-10.190159,-199.015,0,0,0,0,0,0,0,0,0,0,0,0,1
26,26,26,26,26,1.17744,410.81302,-5.980566,-108.11693,0,0,0,0,0,0,0,0,0,0,0,0,1
27,27,27,27,27,1.17746,416.0273,-8.097315,-124.48015,0,0,0,0,0,0,0,0,0,0,0,0,1
28,28,28,28,28,1.17748,413.63763,-9.112444,-199.46512,0,0,0,0,0,0,0,0,0,0,0,0,1
29,29,29,29,29,1.1775,417.96014,-5.940028,-236.90689,0,0,0,0,0,0,0,0,0,0,0,0,1
30,30,30,30,30,1.17752,410.33832,-11.281255,-285.72717,0,0,0,0,0,0,0,0,0,0,0,0,1
31,31,31,31,31,1.17754,408.80106,-7.015843,-197.09885,0,0,0,0,0,0,0,0,0,0,0,0,1
32,32,32,32,32,1.17756,412.48288,-11.4829445,-172.90704,0,0,0,0,0,0,0,0,0,0,0,0,1
33,33,33,33,33,1.1775799999999998,410.2651,-11.425799,-208.87976,0,0,0,0,0,0,0,0,0,0,0,0,1
34,34,34,34,34,1.1776,411.93808,-7.4307714,-264.70886,0,0,0,0,0,0,0,0,0,0,0,0,1
35,35,35,35,35,1.17762,412.87915,-11.147308,-199.92336,0,0,0,0,0,0,0,0,0,0,0,0,1
36,36,36,36,36,1.17764,410.14206,-11.683167,-314.85513,0,0,0,0,0,0,0,0,0,0,0,0,1
37,37,37,37,37,1.17766,409.7685,-6.6301756,-243.96481,0,0,0,0,0,0,0,0,0,0,0,0,1
38,38,38,38,38,1.1776799999999998,410.50095,-9.547673,-205.73509,0,0,0,0,0,0,0,0,0,0,0,0,1
39,39,39,39,39,1.1777,409.98337,-8.78267,-189.60118,0,0,0,0,0,0,0,0,0,0,0,0,1
40,40,40,40,40,1.17772,411.74738,-8.075729,-276.21808,0,0,0,0,0,0,0,0,0,0,0,0,1
41,41,41,41,41,1.17774,411.00098,-11.695782,-263.1848,0,0,0,0,0,0,0,0,0,0,0,0,1
42,42,42,42,42,1.17776,415.77798,-7.6777935,-176.99802,0,0,0,0,0,0,0,0,0,0,0,0,1
43,43,43,43,43,1.17778,413.89856,-6.820616,-218.53752,0,0,0,0,0,0,0,0,0,0,0,0,1
44,44,44,44,44,1.1778,408.64722,-11.653229,-87.26181,0,0,0,0,0,0,0,0,0,0,0,0,1
45,45,45,45,45,1.17782,409.71848,-9.275582,-223.2431,0,0,0,0,0,0,0,0,0,0,0,0,1
46,46,46,46,46,1.17784,410.46646,-6.9272723,-143.55359,0,0,0,0,0,0,0,0,0,0,0,0,1
47,47,47,47,47,1.17786,410.17316,-7.482357,-216.71085,0,0,0,0,0,0,0,0,0,0,0,0,1
48,48,48,48,48,1.17788,410.91443,-1.4686933,-187.36176,0,0,0,0,0,0,0,0,0,0,0,0,1
49,49,49,49,49,1.1779,407.85492,-6.844213,-276.3242,0,0,0,0,0,0,0,0,0,0,0,0,1
50,50,50,50,50,1.17792,409.85007,-5.9402075,-263.6186,0,0,0,0,0,0,0,0,0,0,0,0,1
51,51,51,51,51,1.17794,409.37122,-11.071777,-137.19943,0,0,0,0,0,0,0,0,0,0,0,0,1
52,52,52,52,52,1.17796,410.7769,-8.289637,-153.13873,0,0,0,0,0,0,0,0,0,0,0,0,1
53,53,53,53,53,1.17798,412.46594,-7.0527487,-173.15152,0,0,0,0,0,0,0,0,0,0,0,0,1
54,54,54,54,54,1.178,412.62244,-5.8761578,-126.53211,0,0,0,0,0,0,0,0,0,0,0,0,1
55,55,55,55,55,1.1780199999999998,410.5852,-8.363662,-246.26561,0,0,0,0,0,0,0,0,0,0,0,0,1
56,56,56,56,56,1.17804,410.9942,-4.6975975,-132.76093,0,0,0,0,0,0,0,0,0,0,0,0,1
57,57,57,57,57,1.17806,410.44952,-5.441315,-202.3264,0,0,0,0,0,0,0,0,0,0,0,0,1
58,58,58,58,58,1.17808,412.43912,-6.3003883,-185.08511,0,0,0,0,0,0,0,0,0,0,0,0,1
59,59,59,59,59,1.1781,407.81802,-8.540206,-133.56262,0,0,0,0,0,0,0,0,0,0,0,0,1
60,60,60,60,60,1.17812,411.27585,-3.6982584,-179.7939,0,0,0,0,0,0,0,0,0,0,0,0,1
61,61,61,61,61,1.17814,412.953,-9.662057,-111.757965,0,0,0,0,0,0,0,0,0,0,0,0,1
62,62,62,62,62,1.17816,412.102,-5.8347597,-200.1383,0,0,0,0,0,0,0,0,0,0,0,0,1
63,63,63,63,63,1.17818,411.44162,-7.417673,-224.21005,0,0,0,0,0,0,0,0,0,0,0,0,1
64,64,64,64,64,1.1782,406.03543,-6.64638,-160.73088,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,65,65,65,1.17822,413.48993,-9.643997,-128.643,0,0,0,0,0,0,0,0,0,0,0,0,1
66,66,66,66,66,1.17824,407.95908,-3.6649833,-134.79866,0,0,0,0,0,0,0,0,0,0,0,0,1
67,67,67,67,67,1.17826,409.93314,-6.113442,-143.55104,0,0,0,0,0,0,0,0,0,0,0,0,1
68,68,68,68,68,1.17828,411.32407,-6.584234,-139.41472,0,0,0,0,0,0,0,0,0,0,0,0,1
69,69,69,69,69,1.1783,410.82794,-8.951775,-237.02805,0,0,0,0,0,0,0,0,0,0,0,0,1
70,70,70,70,70,1.17832,411.876,-7.61362,-145.53413,0,0,0,0,0,0,0,0,0,0,0,0,1
71,71,71,71,71,1.17834,409.6793,-7.264892,-126.45471,0,0,0,0,0,0,0,0,0,0,0,0,1
72,72,72,72,72,1.17836,408.15176,-7.809724,-168.03352,0,0,0,0,0,0,0,0,0,0,0,0,1
73,73,73,73,73,1.17838,411.57162,-4.6387815,-195.85867,0,0,0,0,0,0,0,0,0,0,0,0,1
74,74,74,74,74,1.1784,411.64392,-6.3607535,-169.22507,0,0,0,0,0,0,0,0,0,0,0,0,1
75,75,75,75,75,1.17842,409.44873,-9.040926,-119.767136,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,76,76,76,1.17844,407.69046,-6.0327587,-151.2932,0,0,0,0,0,0,0,0,0,0,0,0,1
