z0_0,z0_1,z0_2,z0_3,z0_4,z0_5,z0_6,z0_7,z0_8,z0_9,z0_10,z0_11,z0_12,z0_13,z0_14,z0_15,z0_16,z0_17,z0_18,z0_19,z0_20,z0_21,z0_22,z0_23,z0_24,z0_25,z0_26,z0_27,z0_28,z0_29,z0_30,z0_31
0.061513133,0.28322253,-0.43280423,0.35982674,0.31952545,-0.5453897,0.58727384,0.78023124,-0.0984771,0.3749527,-0.13507813,0.1023708,0.418362,-0.19342835,0.7326448,-0.17963043,0.45614055,-0.47784516,-0.36264962,0.15540154,-0.1721955,0.20168199,-0.5925303,0.1807722,-0.39850232,0.19925852,-0.2659485,-0.27716568,0.17341201,0.31945986,-0.32477868,-0.4703344
0.059825532,0.28277647,-0.4371397,0.36078203,0.32031482,-0.54774714,0.5874259,0.7847924,-0.09786812,0.37281537,-0.14123246,0.10558518,0.41832012,-0.1877833,0.73334086,-0.17821491,0.46253145,-0.48140946,-0.36028224,0.14598335,-0.16760263,0.20157425,-0.5936087,0.18178278,-0.39763948,0.20261803,-0.26687032,-0.2744625,0.17223266,0.32094115,-0.33394146,-0.47148424
0.056970507,0.2812341,-0.4397068,0.35872847,0.32067767,-0.5504136,0.58685523,0.7887075,-0.09833506,0.37172318,-0.14481354,0.107625395,0.41901878,-0.1834529,0.73363835,-0.17681542,0.46755406,-0.48443308,-0.35780376,0.1390797,-0.16429348,0.20251358,-0.5944492,0.1812731,-0.39667878,0.20564666,-0.26700893,-0.27367294,0.17125036,0.32166904,-0.3410668,-0.47226804
0.0610165,0.28307772,-0.43409362,0.36038506,0.31970453,-0.5459865,0.5871381,0.7813621,-0.09822594,0.3743406,-0.13665771,0.103405565,0.41825283,-0.19169351,0.7327423,-0.1792488,0.45791683,-0.47862858,-0.36193216,0.15274623,-0.17108598,0.20178056,-0.5927917,0.18111433,-0.39826122,0.200177,-0.2661956,-0.27629685,0.17315051,0.31974182,-0.32716388,-0.4706328
0.05223976,0.27862722,-0.44378105,0.3555502,0.3211662,-0.5546452,0.58563,0.7947498,-0.09907312,0.37004113,-0.15014912,0.11098571,0.42007676,-0.17639418,0.7339489,-0.17458527,0.47549427,-0.48895758,-0.35373208,0.12817332,-0.15932447,0.20429367,-0.59572506,0.18039723,-0.395125,0.2104595,-0.26714677,-0.272422,0.16978106,0.32259214,-0.35210264,-0.47346422
0.061092086,0.28309974,-0.4338974,0.3603001,0.3196773,-0.5458957,0.5871588,0.78119004,-0.098264165,0.37443376,-0.13641731,0.10324809,0.41826943,-0.1919575,0.73272747,-0.17930686,0.45764652,-0.47850937,-0.36204135,0.15315032,-0.17125483,0.20176555,-0.5927519,0.18106227,-0.3982979,0.20003721,-0.26615798,-0.2764291,0.17319031,0.3196989,-0.32680088,-0.47058737
0.056411684,0.28092614,-0.4401881,0.35835305,0.3207354,-0.55091345,0.5867105,0.78942126,-0.09842224,0.3715245,-0.14544381,0.10802234,0.41914377,-0.1826191,0.733675,-0.17655197,0.46849203,-0.48496753,-0.35732278,0.13779138,-0.16370651,0.20272386,-0.5945999,0.18116964,-0.3964952,0.2062152,-0.26702523,-0.27352515,0.1710768,0.3217781,-0.34237042,-0.47240934
0.057846352,0.2817167,-0.4389525,0.35931692,0.32058722,-0.54963017,0.5870821,0.78758883,-0.098198414,0.3720346,-0.14382571,0.10700326,0.4188229,-0.1847598,0.7335808,-0.1772283,0.466084,-0.4835954,-0.35855758,0.14109895,-0.16521345,0.20218402,-0.594213,0.18143526,-0.39696643,0.20475562,-0.26698342,-0.2739045,0.1715224,0.32149816,-0.3390236,-0.47204658
0.059349902,0.28254524,-0.43765762,0.36032706,0.32043198,-0.54828525,0.5874715,0.7856685,-0.09796383,0.3725692,-0.14212993,0.105935276,0.41848665,-0.18700323,0.7334821,-0.17793709,0.46356043,-0.4821574,-0.35985166,0.14456524,-0.16679272,0.20161825,-0.5938075,0.18171364,-0.39746022,0.20322599,-0.26693964,-0.2743021,0.17198937,0.32120478,-0.33551615,-0.4716664
0.05883099,0.2822593,-0.4381045,0.35997844,0.32048556,-0.5487494,0.5873371,0.7863313,-0.0980448,0.3723847,-0.14271517,0.10630386,0.4186027,-0.18622896,0.73351616,-0.17769247,0.46443138,-0.4826537,-0.35940504,0.14336894,-0.1662477,0.20181352,-0.59394747,0.18161756,-0.3972898,0.20375389,-0.26695472,-0.27416486,0.1718282,0.32130602,-0.33672664,-0.47179762
