y0_pred_v,y1_pred_v,y2_pred_v,y3_pred_v,y4_pred_v,y5_pred_v,y6_pred_v,y7_pred_v
1.5909532,1.5822743,1.5807016,1.5933481,1.6848698,1.6883347,1.6908869,1.6903031
1.5958003,1.5893981,1.5851643,1.5979642,1.6808523,1.6844218,1.6862237,1.6845896
1.5888568,1.5787327,1.5779998,1.5896583,1.6885968,1.6924428,1.6948141,1.6935467
1.5692757,1.5562289,1.5593076,1.5702854,1.6851083,1.6900734,1.6927499,1.691521
1.5864278,1.5767953,1.5776544,1.5889076,1.6765282,1.680239,1.6820804,1.6802459
1.5618883,1.5493116,1.5509114,1.5622104,1.683985,1.6902375,1.6900789,1.6907226
1.587869,1.5834347,1.575913,1.5876614,1.6574608,1.6613586,1.6620175,1.6620758
1.6050018,1.6010382,1.5945234,1.6077527,1.6691724,1.6710882,1.6729852,1.6709695
1.6114784,1.6080387,1.6002796,1.6131097,1.6675135,1.6690246,1.6713749,1.6700015
1.5949371,1.584841,1.5841703,1.5972512,1.6869818,1.6895204,1.6933644,1.6916414
1.5786792,1.5660231,1.5679975,1.5805136,1.6881475,1.6916858,1.6952473,1.6938734
1.6172943,1.609219,1.6153002,1.6261641,1.6615967,1.6632583,1.6671635,1.6648321
1.5886793,1.5803971,1.5794401,1.5913018,1.6791521,1.6802976,1.684564,1.68222
1.5658178,1.5484124,1.5539277,1.5657749,1.6968279,1.7011455,1.7036232,1.7043041
1.59077,1.5739095,1.5861819,1.5923972,1.6854154,1.6882889,1.6915116,1.691431
1.5984122,1.5894167,1.5873809,1.6012319,1.6834968,1.6848,1.6892117,1.6865437
1.5733439,1.5603507,1.5606372,1.5731384,1.695084,1.6990476,1.6994927,1.7011812
1.6168065,1.6147544,1.6128829,1.6229688,1.607541,1.6101247,1.609653,1.6129261
1.5760783,1.5653536,1.564486,1.5762546,1.6861869,1.6896214,1.6900297,1.6904491
1.5692148,1.5531473,1.5559754,1.5688039,1.700869,1.7045723,1.7055876,1.7082351
1.5926985,1.5904777,1.5799456,1.5902679,1.6270658,1.6300894,1.6285485,1.6330343
1.6006007,1.5972342,1.5920866,1.6035211,1.6238784,1.6261743,1.6262679,1.6291497
1.5728428,1.5572892,1.5606372,1.5740541,1.6950861,1.698449,1.7014815,1.7017845
1.5783702,1.5693433,1.568177,1.5796386,1.6579294,1.6608117,1.6639892,1.6639872
