y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred,y8_pred,y9_pred,y10_pred,y11_pred,y12_pred,y13_pred,y14_pred,y15_pred
1.6526711,1.6526399,1.6526331,1.6526945,2.6448007,2.6443765,2.6445966,2.644848,1.6821704,1.682048,1.6820532,1.6822072,0.43505302,0.43510824,0.43511748,0.43505594
1.6536219,1.6535949,1.6536,1.653634,2.6419,2.6414797,2.6417043,2.6419442,1.6765395,1.6764193,1.6763843,1.6765238,0.4343423,0.4344564,0.43447652,0.4343854
1.6532785,1.6532497,1.6532502,1.6532851,2.6431174,2.6427007,2.6428938,2.6431432,1.67807,1.6779419,1.6779224,1.6780396,0.4346478,0.4347337,0.43474185,0.4346555
1.6530508,1.653019,1.6530166,1.6530536,2.6440578,2.6436563,2.6438284,2.644085,1.6786433,1.6785226,1.6785015,1.6786035,0.4348752,0.4349577,0.43496466,0.43489128
1.6540298,1.6540207,1.6540128,1.6540397,2.6407864,2.6402433,2.6405616,2.6408217,1.6740762,1.6738999,1.6738546,1.6739725,0.43407276,0.43423054,0.43424264,0.43408218
1.65382,1.6538007,1.6537945,1.6538298,2.6416392,2.6411426,2.6414182,2.64167,1.6745665,1.6744053,1.6743503,1.674492,0.43429115,0.4344288,0.43445343,0.43429038
1.6528931,1.6528552,1.6528518,1.6528994,2.64489,2.644517,2.6446624,2.644917,1.678373,1.67825,1.6782299,1.6783582,0.43509367,0.4351673,0.435176,0.4350996
1.6527886,1.6527491,1.6527439,1.6527953,2.645297,2.6449418,2.6450686,2.645327,1.6787337,1.6786197,1.6785955,1.6787242,0.43518743,0.4352645,0.43528146,0.4351923
1.6530224,1.6529825,1.652983,1.6530306,2.6445086,2.6441207,2.644284,2.6445358,1.6775929,1.6774747,1.677467,1.6775826,0.43499303,0.43508187,0.4351051,0.43500152
1.65303,1.6529974,1.6529906,1.6530263,2.6444879,2.644074,2.6442533,2.6445162,1.6775178,1.6773913,1.6773721,1.6774526,0.43498912,0.4350747,0.4350749,0.43499956
1.6518223,1.6517656,1.6517718,1.6518236,2.6487305,2.648476,2.6484804,2.64875,1.6831274,1.6830086,1.6830114,1.6831414,0.43602708,0.43606132,0.4360591,0.43604547
1.6526275,1.6525869,1.6525766,1.6526273,2.645992,2.6456516,2.6457582,2.6460276,1.6790003,1.6788846,1.6788647,1.6789681,0.43536353,0.4354323,0.43543714,0.4353773
1.6520206,1.6519653,1.6519678,1.6520176,2.6481094,2.6478174,2.6478481,2.6481214,1.6819707,1.6818557,1.6818501,1.6819564,0.43587044,0.43591788,0.43591335,0.4359021
1.6523725,1.6523286,1.6523186,1.6523775,2.6468744,2.646564,2.6466343,2.6469035,1.6801661,1.6800517,1.6800345,1.6801633,0.43558317,0.43563804,0.43563956,0.43559662
1.6524382,1.6523929,1.6523807,1.6524438,2.646659,2.646343,2.6464212,2.6466854,1.6798565,1.6797489,1.6797361,1.6798549,0.43552494,0.43558866,0.43560052,0.4355318
1.6532502,1.653209,1.6532154,1.6532568,2.643944,2.6435144,2.643721,2.6439764,1.6758755,1.6757462,1.6757156,1.6758436,0.43485415,0.43496934,0.4349941,0.43487322
1.6532845,1.6532484,1.6532478,1.6532843,2.6438768,2.6434388,2.6436512,2.6439123,1.6757308,1.6755717,1.675522,1.6756607,0.43484542,0.43496713,0.43498403,0.43485436
1.6519412,1.6518885,1.6518897,1.6519471,2.6486044,2.648348,2.6483536,2.6486301,1.6814874,1.6813723,1.6813768,1.6815022,0.43601426,0.43604854,0.43604752,0.43602863
1.6517223,1.6516674,1.6516708,1.651728,2.6493714,2.6491103,2.649117,2.6493897,1.6825699,1.6824572,1.682467,1.6825967,0.43619707,0.43622503,0.4362233,0.43620968
1.6530178,1.6529729,1.6529711,1.6530204,2.6449263,2.6445081,2.644697,2.6449637,1.676359,1.6762261,1.67619,1.6763302,0.43510842,0.4352081,0.43522394,0.43511406
1.6513819,1.6513212,1.6513273,1.6513876,2.6506484,2.650383,2.650387,2.6506603,1.6839732,1.6838627,1.6838897,1.6840171,0.43650714,0.43652326,0.43652606,0.43651736
1.6507738,1.6507049,1.6507148,1.6507778,2.6529796,2.6527126,2.6527019,2.652981,1.6862987,1.6861874,1.6861894,1.6863443,0.4370738,0.43707052,0.43706506,0.43706682
1.6510079,1.6509408,1.6509473,1.6510067,2.6522083,2.6519284,2.6519341,2.6522095,1.6849569,1.6848465,1.6848658,1.6849794,0.43688604,0.43689537,0.43688682,0.43689007
1.6518698,1.6518131,1.6518103,1.6518638,2.649242,2.6489525,2.648987,2.6492631,1.6805031,1.6803874,1.6803914,1.6804696,0.43617138,0.43621564,0.43621108,0.4361971
1.6518663,1.6518093,1.6518103,1.6518629,2.6493554,2.649065,2.6490982,2.6493735,1.6801598,1.6800474,1.6800401,1.6801403,0.43620732,0.43624666,0.43624657,0.43622178
1.6506414,1.6505706,1.6505723,1.650648,2.6538374,2.653573,2.6535513,2.6538355,1.6855946,1.6854918,1.6854988,1.6856524,0.43728283,0.43728927,0.4372929,0.43728945
1.6511502,1.651085,1.6510841,1.6511412,2.6520762,2.6517713,2.6517975,2.6520624,1.6829826,1.6828724,1.6828967,1.6829729,0.4368624,0.43688324,0.43687242,0.43688083
1.651479,1.6514169,1.6514188,1.6514857,2.6509998,2.6507146,2.6507337,2.6510177,1.6810743,1.6809691,1.6809719,1.681104,0.4366097,0.43664083,0.43665478,0.4366227
1.6515042,1.6514437,1.651444,1.6515026,2.65099,2.6506903,2.650722,2.6509943,1.6806587,1.6805474,1.6805367,1.6806567,0.43661866,0.4366429,0.43664393,0.43662095
1.6500529,1.649976,1.6499815,1.6500525,2.656239,2.6560097,2.6559505,2.6562202,1.6873635,1.6872522,1.6872635,1.6874022,0.43788233,0.43786475,0.437848,0.4378576
1.6507812,1.6507086,1.6507105,1.6507779,2.6537454,2.653458,2.6534579,2.6537366,1.6834859,1.6833816,1.6833916,1.6835061,0.43728805,0.43728995,0.4372868,0.43728185
1.6501497,1.6500721,1.6500759,1.6501529,2.655973,2.6557436,2.6556854,2.6559591,1.6866341,1.6865276,1.6865348,1.686693,0.43782914,0.43780732,0.437803,0.43781194
1.6497284,1.6496526,1.6496623,1.6497246,2.6575227,2.6573145,2.6572356,2.6575081,1.688503,1.6883888,1.6884012,1.6885157,0.4382057,0.43816802,0.4381467,0.43818703
1.650805,1.6507319,1.6507316,1.6508001,2.6537557,2.653465,2.65347,2.653751,1.6830518,1.6829511,1.6829585,1.6830664,0.43729165,0.4372975,0.4373015,0.43728673
1.6511247,1.6510583,1.6510595,1.6511197,2.6527035,2.6523976,2.6524208,2.6526945,1.681194,1.6810834,1.6810839,1.6811974,0.4370454,0.43705824,0.43705535,0.4370331
1.650657,1.650583,1.6505827,1.6506582,2.6544533,2.6541803,2.6541662,2.654451,1.6831162,1.6830167,1.683024,1.6831523,0.4374671,0.43747,0.4374732,0.43746054
1.6513757,1.6513102,1.6513083,1.651369,2.6519675,2.6516516,2.6516888,2.651973,1.6798447,1.679706,1.6796904,1.6798238,0.43685773,0.43692023,0.4369293,0.4368571
1.6501603,1.6500876,1.650086,1.650165,2.6564407,2.6562045,2.6561508,2.6564388,1.6847079,1.6846138,1.6846144,1.684758,0.4379349,0.43794346,0.43794653,0.4379471
1.6504122,1.650332,1.6503311,1.6504133,2.6556313,2.65538,2.6553395,2.6556213,1.6832188,1.6831163,1.6831089,1.6832614,0.43776467,0.43776077,0.43775767,0.4377385
1.6488096,1.6487284,1.6487435,1.6488065,2.6614592,2.6612604,2.6611586,2.6614287,1.6908381,1.6907246,1.6907341,1.6908668,0.43914017,0.43910533,0.43908727,0.43912748
1.6492364,1.6491554,1.6491616,1.649237,2.6601572,2.6599557,2.6598568,2.6601322,1.6878197,1.6877139,1.6877427,1.6878697,0.4388427,0.43881866,0.43881017,0.43884635
1.6495811,1.6495044,1.6495042,1.649578,2.6589143,2.658703,2.658617,2.658892,1.6860323,1.6859262,1.6859324,1.6860428,0.43855256,0.4385333,0.43851766,0.43856147
1.6504244,1.6503481,1.65035,1.650417,2.656008,2.6557386,2.655716,2.6560025,1.681972,1.6818428,1.6818589,1.68197,0.43784693,0.43788883,0.43789688,0.43786007
