y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred,y8_pred,y9_pred,y10_pred,y11_pred,y12_pred,y13_pred,y14_pred,y15_pred
1.6297162,1.6295867,1.6295873,1.6296961,2.7573237,2.7572744,2.7568944,2.7572577,1.7364736,1.7363983,1.7364287,1.7365608,0.46157777,0.46150735,0.46149325,0.46157464
1.6308408,1.6307276,1.6307244,1.6308287,2.7516234,2.751394,2.7512317,2.7515876,1.7295417,1.7293792,1.7293646,1.7295175,0.4603223,0.4603198,0.46032012,0.4603499
1.6300884,1.6299657,1.629969,1.6300703,2.755502,2.7554133,2.755084,2.7554784,1.7337263,1.7336241,1.7336577,1.7337478,0.46118563,0.46112794,0.46112013,0.46118867
1.6308154,1.6307014,1.6306973,1.6308049,2.7518005,2.7516015,2.7514036,2.7517433,1.7295698,1.7294143,1.7294198,1.7295772,0.460367,0.460365,0.46037397,0.46037173
1.6300763,1.6299466,1.6299566,1.6300582,2.755631,2.7555556,2.7552085,2.7555485,1.7334813,1.7333832,1.7334248,1.7335364,0.46121684,0.46116114,0.46115607,0.46121728
1.6302578,1.6301306,1.6301478,1.6302406,2.7547042,2.754608,2.7542844,2.7546158,1.7323197,1.7322156,1.7322388,1.7323666,0.4610187,0.4609652,0.4609568,0.4610202
1.6300046,1.6298879,1.629893,1.6299837,2.7560234,2.7559576,2.7556021,2.7559385,1.7336092,1.7335035,1.7335746,1.7336179,0.4613174,0.4612504,0.46122646,0.46129298
1.6292039,1.6290894,1.6291124,1.6291759,2.7601593,2.7601058,2.7585342,2.7601068,1.7383078,1.7383126,1.7382447,1.7384127,0.46220887,0.46214554,0.46205768,0.46219876
1.6291252,1.629007,1.6290613,1.6291159,2.7605605,2.7604954,2.7586389,2.7605128,1.7385783,1.7385947,1.7384685,1.7386982,0.46229547,0.4622211,0.46208826,0.46229348
1.6295987,1.6295072,1.6295103,1.6295698,2.7581944,2.7582636,2.757793,2.7581394,1.7352548,1.7351515,1.7351931,1.7352681,0.46180776,0.46173465,0.46167406,0.46164116
1.6302265,1.6301236,1.6301215,1.6302296,2.7551544,2.7552624,2.754744,2.7550642,1.7310392,1.7309074,1.7308164,1.7310194,0.46112126,0.4611321,0.46114185,0.46113193
1.6287012,1.628597,1.6288781,1.6286776,2.7630217,2.7627974,2.7593782,2.7622888,1.7389755,1.7400702,1.7399698,1.7401977,0.46281055,0.46275476,0.46252716,0.46280533
1.629534,1.6294147,1.6294335,1.6295152,2.75876,2.758811,2.7581728,2.7586396,1.7347102,1.734613,1.7346554,1.7347608,0.46192947,0.46185622,0.46179888,0.46192423
1.6292416,1.6291059,1.6291283,1.6292193,2.7603664,2.7603526,2.7586598,2.7597966,1.7360843,1.7360052,1.7360463,1.7361972,0.4622718,0.46220744,0.46208075,0.4622672
1.629429,1.629322,1.6293359,1.6294242,2.7593458,2.7594635,2.7583501,2.7592661,1.7346681,1.734581,1.7346162,1.73472,0.46203688,0.46200472,0.461888,0.46204314
1.6281911,1.6281171,1.628978,1.6281745,2.7658358,2.7652726,2.7601488,2.7643185,1.7389755,1.7413596,1.7419034,1.7422725,0.4633579,0.46330407,0.46288496,0.4633815
1.629227,1.6291307,1.6291417,1.6292229,2.760405,2.76053,2.7586598,2.7602396,1.735561,1.7354832,1.7355,1.7356168,0.46228388,0.46223095,0.46210432,0.46228626
