y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred,y8_pred,y9_pred,y10_pred,y11_pred,y12_pred,y13_pred,y14_pred,y15_pred
1.6297313,1.6296561,1.6296543,1.6297293,2.7569351,2.7565606,2.7565827,2.7569323,1.7364535,1.7363294,1.7363393,1.7364665,0.4614487,0.4614565,0.46145728,0.46145198
1.6308428,1.6307669,1.6307652,1.6308438,2.7514348,2.7511036,2.7511156,2.7514455,1.7295672,1.7294024,1.7294229,1.7295635,0.46021912,0.46029922,0.46029726,0.46021694
1.6300966,1.630025,1.6300205,1.6300957,2.7551773,2.7548273,2.754835,2.7551851,1.7337483,1.7336073,1.73362,1.733746,0.4610698,0.4610836,0.46108377,0.46107176
1.6308166,1.6307403,1.6307398,1.6308187,2.751612,2.7512624,2.7512784,2.7516127,1.7296076,1.7294407,1.7294413,1.7296017,0.46025464,0.46034306,0.46033823,0.46025333
1.6300853,1.6300097,1.6300082,1.6300833,2.7553153,2.7549338,2.7549603,2.7553065,1.733512,1.7333716,1.7333736,1.7335051,0.4610981,0.46111444,0.4611143,0.46109724
1.6302644,1.6301872,1.6301876,1.6302634,2.754422,2.7540386,2.7540734,2.754412,1.7323598,1.7322171,1.7322196,1.732351,0.4608985,0.46092415,0.46092266,0.46089503
1.6300192,1.6299437,1.6299411,1.6300166,2.7556815,2.755318,2.7553496,2.7556868,1.7336308,1.7334887,1.7335209,1.7336252,0.46117702,0.4612029,0.46120453,0.4611796
1.6292428,1.629163,1.6291624,1.6292351,2.7595162,2.7592459,2.759267,2.7596118,1.7382427,1.7381312,1.7381673,1.7382667,0.46204984,0.4620616,0.4620573,0.4620561
1.6291785,1.6291002,1.6290984,1.6291717,2.7598593,2.7596347,2.7596369,2.7599952,1.7385174,1.7383957,1.7384226,1.7385343,0.4621369,0.46212968,0.46213552,0.46214154
1.6296312,1.6295583,1.6295556,1.6296281,2.7577002,2.7573931,2.757404,2.7577684,1.7352505,1.735117,1.7351537,1.7352481,0.46164277,0.4616643,0.4616666,0.46164912
1.6302538,1.630181,1.6301773,1.6302564,2.7548501,2.7544782,2.7544997,2.7548525,1.7310704,1.7308953,1.7308993,1.7310611,0.46097377,0.46109176,0.46108535,0.4609719
1.6287824,1.6286939,1.6287037,1.6287683,2.7619336,2.7617855,2.7617915,2.7621424,1.7398967,1.7397919,1.7398021,1.7399267,0.46262255,0.46263546,0.46262074,0.46262288
1.6295617,1.6294886,1.6294864,1.6295606,2.7582836,2.7579095,2.7579615,2.758296,1.7347233,1.734593,1.7346075,1.7347289,0.46177286,0.46179298,0.4617911,0.46177554
1.6292751,1.6291972,1.6291993,1.6292733,2.7597327,2.7594142,2.759473,2.7598042,1.7360693,1.7359498,1.7359452,1.7360818,0.4621155,0.46213016,0.46212095,0.46211633
1.6294739,1.629402,1.6293972,1.6294736,2.7587812,2.7584689,2.7585018,2.7588499,1.7346896,1.7345549,1.7345666,1.7346973,0.46190664,0.4619113,0.46191698,0.46190864
1.6283444,1.6282446,1.6282866,1.628316,2.764061,2.7641833,2.7641304,2.7645278,1.7418001,1.7416084,1.7416393,1.7417834,0.4631583,0.46316683,0.46314254,0.46315554
1.6292857,1.6292108,1.6292076,1.6292812,2.7597444,2.7594683,2.7595103,2.7598453,1.735561,1.7354369,1.7354498,1.7355748,0.46212855,0.46213496,0.46213734,0.46213162
1.6293745,1.6293011,1.6293012,1.6293734,2.7593544,2.7590482,2.7590976,2.75943,1.7347318,1.7345996,1.7346257,1.7347381,0.4620339,0.46205956,0.46205425,0.46203637
1.6284391,1.6283398,1.6283785,1.6284137,2.7636907,2.763778,2.7637484,2.7641377,1.7408695,1.7407105,1.7407326,1.7408386,0.46308067,0.46307403,0.46305782,0.46307516
