y0_std,y1_std,y2_std,y3_std,y4_std,y5_std,y6_std,y7_std,y8_std,y9_std,y10_std,y11_std,y12_std,y13_std,y14_std,y15_std
1.6422079,1.6421407,1.642141,1.6422085,2.6984754,2.69817,2.6981685,2.6984828,1.706223,1.706101,1.7061008,1.7062235,0.44787353,0.44789258,0.44789234,0.44787243
1.6422099,1.6421411,1.6421436,1.6422094,2.6984768,2.6981723,2.69817,2.6984785,1.7062262,1.7061045,1.7061045,1.706226,0.44787362,0.4478931,0.44789296,0.44787323
1.6422096,1.6421409,1.642141,1.6422089,2.6984766,2.6981707,2.6981695,2.6984766,1.7062253,1.7061025,1.7061031,1.7062248,0.4478728,0.44789296,0.44789284,0.44787276
1.6422088,1.6421405,1.6421415,1.6422088,2.6984754,2.6981702,2.6981695,2.6984773,1.7062248,1.7061023,1.7061027,1.7062246,0.44787258,0.44789255,0.44789234,0.4478726
1.6422106,1.6421415,1.6421419,1.6422098,2.698478,2.6981738,2.6981704,2.6984856,1.7062317,1.7061085,1.7061085,1.7062294,0.44787437,0.44789317,0.44789344,0.4478734
1.6422098,1.6421413,1.6421422,1.6422095,2.698478,2.6981728,2.6981716,2.6984847,1.7062312,1.7061077,1.7061073,1.706228,0.44787312,0.44789305,0.44789302,0.44787312
1.6422088,1.6421407,1.6421415,1.6422085,2.698475,2.6981692,2.6981685,2.6984758,1.7062248,1.7061028,1.7061028,1.7062242,0.4478724,0.44789234,0.4478929,0.44787243
1.6422092,1.6421404,1.6421406,1.6422086,2.698474,2.6981688,2.6981685,2.698475,1.7062244,1.7061021,1.7061021,1.7062248,0.44787264,0.44789243,0.44789234,0.4478724
1.6422089,1.6421405,1.642142,1.6422085,2.6984758,2.6981695,2.6981685,2.6984768,1.7062253,1.7061034,1.7061032,1.7062246,0.44787273,0.44789243,0.44789255,0.44787258
1.6422089,1.6421406,1.6421423,1.6422089,2.6984758,2.6981697,2.6981692,2.698476,1.7062253,1.7061032,1.7061038,1.7062248,0.4478733,0.44789237,0.4478929,0.44787282
1.6422083,1.64214,1.64214,1.642208,2.6984723,2.698167,2.6981661,2.698477,1.7062235,1.7061013,1.7061008,1.7062232,0.44787198,0.44789195,0.447892,0.44787195
1.6422088,1.6421404,1.6421409,1.6422073,2.6984735,2.6981683,2.6981676,2.6984737,1.7062242,1.7061015,1.706102,1.7062237,0.44787228,0.44789228,0.44789216,0.44787225
1.6422081,1.6421402,1.6421416,1.6422077,2.6984732,2.698167,2.6981654,2.6984775,1.7062225,1.7061015,1.706101,1.7062225,0.44787198,0.4478918,0.44789195,0.44787204
1.6422077,1.64214,1.6421403,1.6422085,2.698473,2.6981676,2.6981666,2.6984727,1.7062242,1.7061011,1.7061015,1.706224,0.44787213,0.447892,0.4478921,0.44787216
1.6422076,1.6421403,1.6421404,1.6422076,2.698474,2.698168,2.6981676,2.6984737,1.706223,1.7061013,1.7061018,1.7062246,0.44787234,0.4478919,0.447892,0.4478722
1.6422093,1.6421409,1.642143,1.6422089,2.698476,2.6981704,2.6981695,2.698483,1.7062285,1.7061055,1.7061055,1.7062267,0.44787276,0.4478927,0.4478927,0.44787273
1.6422093,1.642141,1.6421411,1.6422093,2.6984756,2.6981704,2.6981683,2.6984813,1.7062283,1.7061055,1.7061058,1.706227,0.44787276,0.44789276,0.44789255,0.44787264
1.6422082,1.6421402,1.6421404,1.642208,2.698473,2.6981673,2.698166,2.6984725,1.7062235,1.7061008,1.7061013,1.706224,0.44787195,0.4478921,0.4478919,0.44787195
1.642208,1.6421402,1.6421404,1.642208,2.698473,2.6981668,2.6981666,2.6984727,1.706223,1.706101,1.706101,1.706224,0.4478719,0.4478918,0.44789168,0.44787192
1.6422093,1.6421406,1.6421424,1.6422085,2.6984744,2.6981692,2.698168,2.6984832,1.7062278,1.7061046,1.7061048,1.7062273,0.44787258,0.44789243,0.44789222,0.44787246
1.6422076,1.64214,1.6421404,1.642208,2.6984723,2.6981666,2.6981657,2.698475,1.706223,1.7061005,1.7061008,1.7062235,0.4478721,0.44789168,0.44789162,0.44787183
1.6422079,1.6421399,1.6421399,1.6422085,2.6984715,2.6981661,2.6981652,2.6984775,1.706223,1.7061006,1.7061006,1.706223,0.44787204,0.44789168,0.44789138,0.44787169
1.6422076,1.6421399,1.6421399,1.642208,2.6984718,2.698166,2.698166,2.6984766,1.706223,1.7061008,1.7061006,1.7062228,0.44787174,0.44789162,0.44789162,0.44787163
1.6422085,1.64214,1.6421412,1.642208,2.6984723,2.6981666,2.698167,2.6984725,1.706223,1.7061018,1.7061017,1.706223,0.4478726,0.4478919,0.4478918,0.4478721
1.6422079,1.64214,1.6421404,1.6422082,2.6984725,2.6981666,2.6981661,2.698473,1.7062237,1.7061013,1.7061015,1.7062237,0.44787252,0.4478919,0.4478921,0.447872
1.6422081,1.6421398,1.6421402,1.642208,2.6984723,2.698166,2.698165,2.6984732,1.7062235,1.7061003,1.7061007,1.7062225,0.4478724,0.44789147,0.4478916,0.44787177
1.642208,1.6421398,1.6421412,1.6422075,2.6984727,2.6981657,2.698166,2.6984727,1.7062232,1.7061008,1.7061007,1.7062228,0.44787213,0.4478918,0.44789174,0.44787186
1.6422079,1.6421399,1.6421407,1.6422079,2.6984727,2.6981657,2.698166,2.6984723,1.7062235,1.7061015,1.7061012,1.7062237,0.44787186,0.4478916,0.44789162,0.44787183
1.6422082,1.6421399,1.6421399,1.642208,2.6984727,2.6981661,2.6981661,2.6984735,1.7062232,1.7061013,1.7061017,1.706223,0.4478721,0.4478919,0.4478918,0.44787177
1.6422077,1.6421398,1.6421397,1.642208,2.6984706,2.6981657,2.6981652,2.6984744,1.7062228,1.7061008,1.7061003,1.7062235,0.44787157,0.4478914,0.4478916,0.44787145
1.642208,1.6421397,1.6421398,1.6422079,2.6984718,2.6981654,2.698166,2.698472,1.7062225,1.7061006,1.7061008,1.7062225,0.4478716,0.4478916,0.44789162,0.44787157
1.6422076,1.6421398,1.6421403,1.642208,2.6984713,2.6981654,2.698165,2.6984723,1.7062235,1.7061008,1.7061005,1.706222,0.44787192,0.44789147,0.44789138,0.4478716
