y0_pred_v,y1_pred_v,y2_pred_v,y3_pred_v,y4_pred_v,y5_pred_v,y6_pred_v,y7_pred_v,y8_pred_v,y9_pred_v,y10_pred_v,y11_pred_v,y12_pred_v,y13_pred_v,y14_pred_v,y15_pred_v
1.651818,1.6519644,1.651789,1.6518726,2.6434307,2.643248,2.6433916,2.6437016,1.6808549,1.6808081,1.6807593,1.6808951,0.43446994,0.43433392,0.43438447,0.4345294
1.6528797,1.652895,1.6527503,1.6528273,2.640708,2.6404266,2.6405716,2.6407924,1.6752926,1.6751572,1.6750846,1.6753471,0.43382412,0.43373436,0.43372992,0.433859
1.6523478,1.6523701,1.6522372,1.6522882,2.6416898,2.6414223,2.641573,2.6418111,1.6768306,1.6767195,1.6766468,1.6768959,0.43409556,0.4340119,0.43400037,0.43413174
1.652288,1.6522887,1.6521752,1.6522202,2.6426172,2.642344,2.6424994,2.6427476,1.6775432,1.6774156,1.6773672,1.6776154,0.43429583,0.4342066,0.43418768,0.43431675
1.6530443,1.65301,1.6528485,1.6529224,2.6397095,2.6394587,2.6396112,2.6397758,1.6724595,1.6722584,1.6721319,1.6724708,0.4336127,0.43359,0.43357295,0.43366843
1.6529912,1.6529661,1.6528084,1.6528864,2.6404972,2.6402264,2.6403694,2.6405418,1.6730181,1.6728225,1.6727213,1.6730535,0.43378577,0.43373471,0.43372953,0.43383718
1.6520202,1.6520118,1.6518686,1.6519673,2.643827,2.6435175,2.6436543,2.64386,1.677229,1.6770799,1.6770171,1.677283,0.43457526,0.43448788,0.43451172,0.4346226
1.6519978,1.6519992,1.6518571,1.6519501,2.6438618,2.6435533,2.6436925,2.6439104,1.677519,1.6773753,1.6773152,1.6775773,0.43458313,0.43449184,0.434515,0.4346258
1.652212,1.6521981,1.6520574,1.6521666,2.6432066,2.6428905,2.6430244,2.6432216,1.6763209,1.676152,1.6760912,1.6763694,0.43443358,0.43434566,0.4343655,0.43446988
1.6522092,1.6521953,1.6520526,1.6521606,2.6434178,2.643105,2.6432376,2.643433,1.6765295,1.6763561,1.6762953,1.6765823,0.43448007,0.43438956,0.43440992,0.4345091
1.6509278,1.6509385,1.6508245,1.6509006,2.6471639,2.6469102,2.6470504,2.6473365,1.6820395,1.6819134,1.6818746,1.6821098,0.43540046,0.4352891,0.43529075,0.43542206
1.6517451,1.6517442,1.651597,1.6517096,2.6445737,2.64426,2.644383,2.6446006,1.6778594,1.677701,1.6776475,1.6779144,0.43476772,0.43467525,0.4347123,0.4348066
1.6511528,1.6511662,1.6510448,1.6511197,2.6464682,2.6461873,2.6463146,2.6465843,1.6809016,1.6807741,1.6807454,1.680979,0.43522996,0.43512303,0.435135,0.43525285
1.6514435,1.6514409,1.6512995,1.6514075,2.6455293,2.6452289,2.6453567,2.6455836,1.6789974,1.6788411,1.6788017,1.6790581,0.43501124,0.43491182,0.43494076,0.43504012
1.651634,1.651638,1.6514981,1.6515996,2.6451836,2.6448712,2.644999,2.6452308,1.6786797,1.6785263,1.678485,1.6787469,0.43490583,0.4348039,0.4348345,0.43494165
1.6523466,1.6523253,1.6521707,1.6522522,2.6425924,2.6423206,2.6424632,2.64265,1.6744269,1.6742401,1.674145,1.67447,0.4343061,0.43425587,0.4342624,0.43436337
1.652467,1.652467,1.6522827,1.6523507,2.6429167,2.6426735,2.6428118,2.643,1.6743972,1.674189,1.6740898,1.6744313,0.4343416,0.43430227,0.43430623,0.43440795
1.6510421,1.651052,1.6508963,1.6510146,2.6474075,2.6471033,2.6472368,2.6474326,1.6804134,1.6802576,1.6801969,1.6804705,0.4354419,0.43533644,0.43537065,0.43549287
1.650841,1.650845,1.6506793,1.6507926,2.6480045,2.6477184,2.6478581,2.6480384,1.6814623,1.681317,1.6812484,1.6815178,0.43558392,0.43547857,0.4355139,0.43564785
1.6520828,1.6520866,1.6519,1.6519749,2.6439576,2.6437225,2.6438618,2.6440573,1.6751001,1.6748968,1.6747977,1.6751304,0.43460825,0.43457544,0.43457997,0.434685
1.6505685,1.6505784,1.6504073,1.6504891,2.6490307,2.6487503,2.6489148,2.6490638,1.6828219,1.6826862,1.6826068,1.6828866,0.43582115,0.43572772,0.43574935,0.4359079
1.6500158,1.6500213,1.6498623,1.6499441,2.6514325,2.6511745,2.65137,2.6514888,1.6850909,1.6849682,1.6848613,1.6851234,0.4363696,0.43628305,0.43632573,0.43647006
1.6502346,1.6502521,1.6500752,1.650147,2.6506677,2.650385,2.6505466,2.650683,1.6839589,1.6838319,1.6837499,1.6840281,0.43620372,0.4361074,0.43612814,0.43629354
1.6510524,1.6510708,1.650923,1.651005,2.6481586,2.647831,2.647996,2.648145,1.6795555,1.6794332,1.6793679,1.6796355,0.43560606,0.43550956,0.4355396,0.43569216
1.6509945,1.6510026,1.6508582,1.6509604,2.648252,2.6479244,2.6480918,2.6482444,1.6791238,1.6789827,1.6789299,1.6791935,0.43565395,0.4355542,0.43557394,0.43572587
1.6499634,1.6499784,1.649807,1.6498849,2.652245,2.6519518,2.6521168,2.6522553,1.6845101,1.6843809,1.6843004,1.6845753,0.43657634,0.43647766,0.43649328,0.4366507
1.6502633,1.6502732,1.6501129,1.6501989,2.6506252,2.650322,2.6504912,2.6506245,1.6819568,1.6818299,1.6817496,1.6820195,0.4362259,0.4361419,0.43615428,0.436306
1.6506675,1.6506793,1.6505358,1.6506369,2.6497464,2.6494112,2.649579,2.6497357,1.6798795,1.6797471,1.6796887,1.6799524,0.4360072,0.43590954,0.43592978,0.4360788
1.6505111,1.6505127,1.6503739,1.6504796,2.6497378,2.6494083,2.6495776,2.649737,1.6794546,1.6793227,1.6792655,1.6795197,0.4360395,0.43594825,0.43596995,0.43610916
1.649204,1.649219,1.6490402,1.6491127,2.6546187,2.654337,2.6545072,2.6546402,1.6862979,1.6861744,1.6860789,1.6863604,0.4371723,0.43708563,0.4370957,0.43725404
1.6499789,1.6499839,1.6498301,1.6499255,2.6522818,2.6519623,2.6521287,2.6522858,1.6823884,1.6822556,1.6821884,1.6824548,0.4366177,0.43652362,0.4365437,0.43668532
1.6493484,1.649358,1.6491842,1.6492736,2.654364,2.6540756,2.6542454,2.6543875,1.6854972,1.6853544,1.6852808,1.6855512,0.43711406,0.43702227,0.43702823,0.43718213
1.6490057,1.6490024,1.6488373,1.648932,2.6559176,2.6556606,2.6558447,2.6559763,1.6874269,1.687295,1.6872013,1.6874549,0.43746072,0.43736595,0.43739754,0.43753046
1.6500659,1.6500772,1.6499236,1.6500266,2.6522675,2.6519408,2.6521106,2.6522734,1.6819726,1.6818361,1.6817793,1.682035,0.43660465,0.43650457,0.43652618,0.4366703
1.6502151,1.6502311,1.6500878,1.6501923,2.6516924,2.6513486,2.6515074,2.6516857,1.6801456,1.6800141,1.6799642,1.6802154,0.43648192,0.43638664,0.43641612,0.4365483
1.64979,1.6497939,1.6496506,1.6497512,2.6529756,2.6526384,2.6528006,2.6529734,1.6818956,1.6817659,1.681708,1.6819634,0.43679896,0.43670467,0.4367311,0.43686733
1.6504623,1.650501,1.6502583,1.6502988,2.6507258,2.6505475,2.6506853,2.650902,1.6785139,1.6782858,1.6782002,1.678546,0.43622738,0.43623006,0.43622607,0.4363268
1.6493963,1.6494083,1.6492572,1.6493537,2.65482,2.6544948,2.6546526,2.6548202,1.6835281,1.6833975,1.683338,1.6835885,0.43722558,0.437132,0.43714857,0.43729314
1.6495385,1.6495456,1.6493993,1.6495202,2.654685,2.654346,2.654511,2.6546795,1.6821336,1.6819949,1.6819438,1.6821954,0.43720907,0.43710995,0.43712333,0.43725735
1.6480322,1.6480289,1.6478648,1.6479573,2.6601362,2.6598754,2.6600475,2.6601892,1.6896244,1.6894927,1.6894039,1.6896589,0.43848208,0.4383866,0.43841213,0.438541
1.6484047,1.6484181,1.6482501,1.648349,2.6589174,2.6586084,2.6587625,2.6589272,1.6868111,1.6866775,1.6866161,1.6868701,0.4382102,0.4381137,0.4381237,0.43826416
1.6488122,1.6488287,1.6486683,1.6487803,2.6578512,2.6575184,2.6576805,2.6578515,1.6851791,1.6850406,1.6849846,1.6852386,0.43794173,0.4378421,0.43785977,0.43799055
1.6495726,1.6496125,1.6493819,1.6494281,2.6545758,2.6543813,2.6545072,2.6547267,1.6807151,1.6804972,1.6804167,1.6807473,0.43715626,0.43714505,0.4371454,0.4372401
1.6487648,1.6487665,1.6486223,1.6487284,2.6573439,2.6570172,2.6571708,2.657341,1.684216,1.6840858,1.684025,1.6842752,0.43786052,0.4377728,0.43778408,0.43791175
1.6493192,1.6493468,1.6491649,1.6492548,2.6556473,2.6553607,2.6555047,2.6557038,1.6819128,1.6817391,1.6816806,1.6819625,0.4374277,0.4373669,0.4373762,0.43749118
1.6483283,1.6483319,1.648169,1.6482742,2.6588364,2.6585283,2.658689,2.6588507,1.6864651,1.6863279,1.6862582,1.6865187,0.4382178,0.4381267,0.43813318,0.4382645
1.6495183,1.6495614,1.6493058,1.6493306,2.6552572,2.6551132,2.6552296,2.6554613,1.6808155,1.680584,1.6804973,1.6808488,0.4373047,0.4373126,0.43730688,0.43739307
1.6491549,1.6491928,1.6489425,1.6489868,2.6560192,2.65585,2.655974,2.6561875,1.6813835,1.6811523,1.6810622,1.6814067,0.43752414,0.43753344,0.43751937,0.43760478
1.6490953,1.6491342,1.6488864,1.6489217,2.6568265,2.656654,2.6567783,2.6569958,1.6818262,1.6816057,1.6815159,1.6818578,0.43769172,0.43769935,0.43769282,0.4377768
1.6489749,1.6489966,1.6487908,1.6488616,2.6571407,2.6569128,2.6570482,2.6572516,1.6824305,1.6822296,1.682159,1.6824713,0.4377945,0.43776295,0.4377582,0.43785238
1.6472199,1.6472213,1.6470542,1.647151,2.6635695,2.6633039,2.663475,2.663621,1.6914147,1.6912788,1.6911948,1.6914389,0.43931258,0.43922168,0.4392396,0.43936014
1.6488888,1.6489227,1.6486745,1.6487188,2.6574168,2.6572528,2.6573782,2.6575844,1.6821498,1.6819165,1.68183,1.6821749,0.4378605,0.4378639,0.4378435,0.43792987
1.6477845,1.6477914,1.6476364,1.6477494,2.6620278,2.6617026,2.6618557,2.6620367,1.6874956,1.6873498,1.6873007,1.6875491,0.4389667,0.43886387,0.43887472,0.43899554
1.6479542,1.647963,1.64779,1.6478977,2.6610293,2.6607413,2.6608858,2.6610696,1.6849753,1.6848125,1.6847538,1.6850224,0.43876842,0.43869525,0.43869174,0.43879643
1.6481481,1.6481675,1.6479785,1.6480765,2.6610136,2.6607428,2.6608782,2.6610806,1.6847692,1.6845856,1.6845309,1.6848068,0.4387206,0.43865937,0.43865818,0.43875712
