y0_pred,y1_pred,y2_pred,y3_pred,y4_pred,y5_pred,y6_pred,y7_pred,y8_pred,y9_pred,y10_pred,y11_pred,y12_pred,y13_pred,y14_pred,y15_pred
1.6526835,1.6526178,1.6526212,1.6526822,2.6449633,2.644678,2.6446755,2.6449587,1.6821382,1.6820375,1.6820096,1.682143,0.4351284,0.43512675,0.43512827,0.43512836
1.6536127,1.6535497,1.6535517,1.6536151,2.642151,2.641837,2.6418393,2.6421423,1.6765347,1.6764305,1.6764051,1.6765375,0.43447423,0.43448266,0.4344807,0.434472
1.6532751,1.6532128,1.6532153,1.6532772,2.6432922,2.6430106,2.643007,2.6432977,1.6780467,1.6779426,1.6779372,1.678049,0.43474483,0.43475574,0.4347563,0.4347449
1.6530495,1.6529901,1.6529893,1.6530503,2.644198,2.6439326,2.643918,2.6442096,1.6786271,1.6785169,1.6785156,1.6786234,0.43496716,0.43497565,0.43497628,0.43496877
1.6540244,1.653957,1.6539572,1.6540223,2.6410406,2.6407344,2.64074,2.641032,1.67409,1.6739608,1.6739696,1.6740999,0.4341852,0.43426612,0.43426323,0.43418276
1.6538094,1.653747,1.6537474,1.6538116,2.641869,2.64156,2.641564,2.641865,1.6745838,1.674452,1.6744455,1.6745822,0.4344016,0.43445763,0.43445405,0.4343986
1.6528947,1.6528304,1.6528332,1.6528951,2.645025,2.6447303,2.6447384,2.6450233,1.6783547,1.6782472,1.6782426,1.6783555,0.43516564,0.43518162,0.43518174,0.43516457
1.6527886,1.6527268,1.6527272,1.6527891,2.6454263,2.6451366,2.6451333,2.645426,1.6787236,1.6786131,1.678598,1.6787194,0.4352671,0.4352757,0.43527505,0.43526715
1.6530179,1.652955,1.6529571,1.6530195,2.6446607,2.6443582,2.6443622,2.6446576,1.6775835,1.677477,1.6774572,1.6775837,0.43508515,0.4350969,0.43509543,0.4350831
1.6530278,1.6529696,1.6529683,1.6530297,2.6446064,2.6443486,2.6443408,2.6446238,1.6775031,1.6773957,1.677411,1.6775049,0.43507242,0.43509266,0.43509436,0.43507332
1.6518283,1.6517646,1.6517677,1.6518292,2.6487746,2.6485047,2.6485004,2.648772,1.6830992,1.6829948,1.6829909,1.6831027,0.4360581,0.43606427,0.43606636,0.4360592
1.6526304,1.6525706,1.6525688,1.6526299,2.6460915,2.6458242,2.6458166,2.6461005,1.6789889,1.6788757,1.6788794,1.6789843,0.4354283,0.43544245,0.4354427,0.43542987
1.652026,1.6519636,1.6519635,1.6520255,2.6481435,2.6478903,2.6478765,2.6481524,1.6819446,1.6818424,1.6818476,1.6819489,0.4359136,0.43592116,0.4359233,0.4359166
1.6523819,1.6523175,1.6523181,1.6523787,2.646959,2.6466773,2.6466813,2.6469584,1.6801453,1.6800368,1.6800373,1.6801459,0.43563047,0.43564376,0.4356446,0.43563074
1.652443,1.6523808,1.6523801,1.6524414,2.6467547,2.646471,2.6464667,2.6467547,1.6798422,1.679733,1.6797212,1.6798407,0.43558586,0.43559426,0.4355939,0.43558675
1.6532398,1.6531785,1.6531788,1.6532449,2.6441228,2.6438,2.6438096,2.6441095,1.6758868,1.6757668,1.6757488,1.6758875,0.43495408,0.43498653,0.4349844,0.43495098
1.6532761,1.6532155,1.6532146,1.6532787,2.644033,2.6437416,2.6437464,2.644039,1.6757317,1.6756,1.6756046,1.6757327,0.43492696,0.43498495,0.43498242,0.4349252
1.6519505,1.6518828,1.6518878,1.6519485,2.6486547,2.6483688,2.648379,2.6486487,1.681464,1.6813593,1.6813581,1.6814662,0.4360368,0.43605012,0.4360513,0.4360366
