y0_std,y1_std,y2_std,y3_std,y4_std,y5_std,y6_std,y7_std,y8_std,y9_std,y10_std,y11_std,y12_std,y13_std,y14_std,y15_std
1.6422086,1.6421405,1.6421404,1.6422087,2.6984768,2.6981697,2.6981704,2.698476,1.7062242,1.7061008,1.7061011,1.7062242,0.44787252,0.44789344,0.44789344,0.44787306
1.6422107,1.6421422,1.6421424,1.6422106,2.6984837,2.698178,2.6981776,2.6984854,1.7062278,1.7061055,1.7061055,1.7062287,0.44787422,0.4478944,0.44789448,0.44787422
1.6422098,1.6421419,1.6421416,1.6422099,2.6984792,2.6981733,2.698174,2.6984808,1.7062262,1.7061032,1.7061036,1.7062262,0.44787368,0.44789386,0.44789365,0.44787356
1.6422094,1.642141,1.6421407,1.6422095,2.6984751,2.6981719,2.6981719,2.6984777,1.706225,1.7061038,1.7061027,1.7062258,0.44787335,0.44789323,0.44789302,0.44787326
1.6422127,1.6421442,1.642144,1.6422127,2.6984875,2.6981812,2.6981812,2.698489,1.7062413,1.7061193,1.7061181,1.7062398,0.44787621,0.4478949,0.44789574,0.44787568
1.6422114,1.6421431,1.6421435,1.6422114,2.6984854,2.6981776,2.6981785,2.698485,1.7062365,1.7061148,1.7061145,1.7062376,0.44787493,0.44789448,0.44789428,0.44787472
1.6422089,1.642141,1.642141,1.6422089,2.6984773,2.6981704,2.6981697,2.6984777,1.7062255,1.7061038,1.7061036,1.7062253,0.44787252,0.44789323,0.44789237,0.44787273
1.642209,1.6421406,1.642141,1.6422087,2.6984742,2.6981714,2.6981678,2.698476,1.7062255,1.706104,1.7061023,1.7062255,0.44787306,0.4478925,0.44789302,0.44787285
1.6422093,1.6421409,1.642141,1.6422093,2.6984782,2.698171,2.6981714,2.698476,1.706226,1.7061038,1.7061036,1.706227,0.44787326,0.44789302,0.4478925,0.44787315
1.6422093,1.6421406,1.6421406,1.6422093,2.6984773,2.6981723,2.698174,2.6984787,1.7062273,1.7061043,1.706104,1.7062272,0.4478726,0.44789279,0.44789302,0.44787368
1.6422081,1.6421402,1.6421402,1.6422085,2.6984727,2.6981678,2.6981661,2.6984715,1.7062235,1.7061013,1.7061013,1.706225,0.44787177,0.44789216,0.44789174,0.44787198
1.6422083,1.6421405,1.6421404,1.6422086,2.6984732,2.6981692,2.69817,2.6984737,1.7062265,1.7061033,1.7061027,1.7062258,0.44787252,0.4478927,0.44789258,0.4478722
1.6422085,1.6421405,1.6421405,1.6422083,2.6984725,2.6981647,2.6981678,2.6984732,1.706225,1.7061013,1.706102,1.7062242,0.4478722,0.44789216,0.44789216,0.44787198
1.6422086,1.6421404,1.6421402,1.6422083,2.6984751,2.6981678,2.6981683,2.6984725,1.7062246,1.7061015,1.7061018,1.7062244,0.4478724,0.44789216,0.44789228,0.44787198
1.6422089,1.6421406,1.6421407,1.6422087,2.6984746,2.6981661,2.6981673,2.6984756,1.7062255,1.7061025,1.706103,1.7062255,0.4478722,0.44789195,0.44789258,0.4478722
1.6422098,1.6421411,1.6421417,1.6422096,2.6984773,2.6981704,2.6981714,2.6984797,1.7062303,1.7061086,1.7061077,1.70623,0.44787306,0.44789302,0.44789323,0.44787347
1.6422098,1.6421418,1.6421415,1.6422094,2.6984787,2.6981723,2.6981719,2.6984766,1.7062324,1.7061077,1.7061085,1.706231,0.44787315,0.44789302,0.44789279,0.44787326
1.6422087,1.6421404,1.6421402,1.642208,2.6984725,2.6981661,2.6981692,2.6984737,1.7062246,1.7061015,1.706102,1.7062228,0.4478721,0.44789186,0.44789207,0.4478724
1.6422082,1.6421402,1.6421397,1.6422081,2.6984732,2.6981657,2.6981673,2.6984727,1.7062258,1.706102,1.7061013,1.7062235,0.44787198,0.44789207,0.44789132,0.4478721
1.642209,1.6421409,1.642141,1.6422094,2.6984777,2.6981704,2.6981704,2.698476,1.7062283,1.7061061,1.706106,1.706229,0.44787294,0.44789237,0.44789216,0.4478726
1.6422083,1.6421399,1.6421398,1.6422085,2.6984725,2.6981661,2.6981668,2.6984732,1.706223,1.7061015,1.7061018,1.7062235,0.44787177,0.44789195,0.44789132,0.4478723
1.642208,1.6421403,1.6421405,1.6422083,2.6984715,2.6981668,2.6981661,2.6984737,1.7062228,1.7061011,1.7061011,1.7062246,0.44787157,0.44789153,0.44789174,0.44787166
1.6422085,1.6421406,1.6421404,1.642208,2.6984725,2.6981652,2.6981678,2.6984732,1.7062228,1.7061006,1.7061013,1.706224,0.4478722,0.44789162,0.44789216,0.4478722
1.6422083,1.6421402,1.6421399,1.6422082,2.6984742,2.6981661,2.6981661,2.6984746,1.706224,1.7061027,1.706102,1.7062248,0.44787198,0.44789195,0.44789216,0.44787177
1.6422081,1.6421403,1.6421406,1.6422087,2.698476,2.6981652,2.6981683,2.6984727,1.706225,1.706102,1.7061025,1.706224,0.44787252,0.44789216,0.44789174,0.44787177
1.6422081,1.6421402,1.6421402,1.6422083,2.6984715,2.6981664,2.6981661,2.6984727,1.7062235,1.7061011,1.7061003,1.7062228,0.44787177,0.44789132,0.44789237,0.4478719
1.6422083,1.6421402,1.6421402,1.6422085,2.6984732,2.6981673,2.6981664,2.6984732,1.7062242,1.706102,1.7061015,1.7062232,0.4478724,0.447891,0.44789153,0.44787177
1.642208,1.6421406,1.6421399,1.6422083,2.6984692,2.6981647,2.6981688,2.6984706,1.7062246,1.706102,1.7061023,1.7062237,0.44787177,0.44789195,0.44789195,0.44787177
1.6422081,1.6421402,1.6421399,1.6422083,2.698476,2.6981623,2.6981661,2.6984732,1.7062248,1.7061027,1.7061013,1.7062244,0.44787177,0.44789207,0.44789195,0.4478722
1.6422081,1.6421399,1.64214,1.6422083,2.6984715,2.6981678,2.6981661,2.6984737,1.7062237,1.7061002,1.7061008,1.7062235,0.44787198,0.44789153,0.44789174,0.44787177
1.642208,1.6421399,1.6421406,1.6422077,2.6984737,2.6981661,2.6981657,2.6984727,1.706226,1.7061013,1.7061015,1.706223,0.44787145,0.44789174,0.44789216,0.44787177
1.6422085,1.6421402,1.6421402,1.6422082,2.6984742,2.6981668,2.6981652,2.6984742,1.7062235,1.7061011,1.7061015,1.7062244,0.44787177,0.44789174,0.44789174,0.4478723
1.642208,1.6421397,1.6421399,1.6422083,2.6984725,2.6981647,2.6981642,2.6984742,1.7062242,1.7060997,1.7061008,1.7062235,0.44787157,0.44789207,0.44789153,0.44787177
1.6422081,1.64214,1.6421399,1.6422081,2.6984742,2.6981661,2.6981652,2.6984715,1.706223,1.7061008,1.7061011,1.706224,0.44787198,0.44789174,0.44789207,0.44787157
1.6422085,1.6421397,1.6421403,1.6422085,2.6984706,2.6981661,2.6981683,2.6984715,1.7062237,1.7061023,1.7061023,1.7062244,0.4478722,0.44789153,0.44789153,0.4478724
1.6422083,1.6421402,1.6421402,1.6422086,2.6984732,2.6981652,2.6981661,2.6984706,1.7062242,1.706102,1.7061013,1.7062244,0.44787166,0.44789153,0.44789195,0.44787198
1.6422079,1.6421402,1.64214,1.642208,2.6984715,2.6981668,2.6981623,2.6984715,1.7062246,1.706102,1.706102,1.7062246,0.4478719,0.44789216,0.44789174,0.44787198
1.6422083,1.6421403,1.6421402,1.6422085,2.6984725,2.6981657,2.6981668,2.6984725,1.7062235,1.7061013,1.7061015,1.7062235,0.44787145,0.44789162,0.44789195,0.44787157
1.6422077,1.6421403,1.6421398,1.642208,2.698472,2.6981668,2.6981661,2.6984732,1.7062228,1.7061011,1.7061015,1.7062242,0.4478719,0.44789162,0.44789228,0.4478722
1.642208,1.6421396,1.6421393,1.6422082,2.6984725,2.6981661,2.6981657,2.6984732,1.7062232,1.7061018,1.7061008,1.7062237,0.4478719,0.44789195,0.44789195,0.44787177
1.642208,1.6421403,1.64214,1.6422077,2.6984751,2.6981652,2.6981642,2.698472,1.7062237,1.7061002,1.7061018,1.7062237,0.44787157,0.44789153,0.44789174,0.4478721
1.6422082,1.6421403,1.6421397,1.6422081,2.6984732,2.6981668,2.6981637,2.6984725,1.7062223,1.7061008,1.7061018,1.706224,0.44787157,0.44789216,0.44789195,0.4478719
1.6422077,1.6421405,1.6421398,1.6422083,2.6984737,2.6981668,2.6981678,2.698472,1.7062237,1.7061013,1.7061018,1.7062228,0.44787177,0.44789207,0.44789207,0.44787177
1.642208,1.6421397,1.6421397,1.6422083,2.6984751,2.6981664,2.6981652,2.6984732,1.706225,1.706102,1.7061011,1.7062235,0.44787166,0.4478912,0.44789174,0.44787166
1.642208,1.6421402,1.64214,1.6422085,2.698471,2.6981642,2.6981668,2.6984725,1.7062228,1.7061003,1.7061003,1.7062235,0.44787157,0.44789174,0.44789174,0.4478719
1.6422076,1.6421403,1.6421397,1.642208,2.6984725,2.6981652,2.6981673,2.6984706,1.7062232,1.7061011,1.7061008,1.7062235,0.44787198,0.44789186,0.44789174,0.4478721
